,Gene,Spearman_r,P_value,FDR
33074,APRT,0.6412,0.007434,0.57625115625
33534,TREX2,-0.6412,0.007434,0.57625115625
33397,LMNTD2,-0.6412,0.007434,0.57625115625
2017,LOC102723389,-0.6412,0.007434,0.57625115625
29307,PGPEP1L,-0.6412,0.007434,0.57625115625
33765,UGDH,0.6412,0.007434,0.57625115625
29903,SKA3,0.6412,0.007434,0.57625115625
21329,ZDHHC22,0.6412,0.007434,0.57625115625
33857,LOC100101478,0.6412,0.007434,0.57625115625
21623,FASLG,0.6412,0.007434,0.57625115625
14394,lnc-C20orf62-2,-0.6412,0.007434,0.57625115625
9469,lnc-CDYL2-3,-0.6412,0.007434,0.57625115625
26408,IL2RB,0.6412,0.007434,0.57625115625
28555,EFNB3,0.6382,0.007801,0.5800970599571734
12440,BCAR4,0.6382,0.007801,0.5800970599571734
33164,LOC100132272,-0.6382,0.007801,0.5800970599571734
16684,PAFAH2,0.6382,0.007801,0.5800970599571734
7664,SMKR1,0.6382,0.007801,0.5800970599571734
6689,EIF4A1,0.6382,0.007801,0.5800970599571734
18938,ACSS2,-0.6382,0.007801,0.5800970599571734
9165,lnc-C2CD4B-1,0.6382,0.007801,0.5800970599571734
31276,TRIM54,-0.6382,0.007801,0.5800970599571734
26591,TOX,0.6382,0.007801,0.5800970599571734
18037,SLC20A1,0.6382,0.007801,0.5800970599571734
26107,PAK6,0.6382,0.007801,0.5800970599571734
9014,lnc-C11orf46-2,-0.6382,0.007801,0.5800970599571734
15582,PMVK,0.6382,0.007801,0.5800970599571734
34133,ZNF542P,0.6382,0.007801,0.5800970599571734
32629,NRARP,0.6382,0.007801,0.5800970599571734
19143,PODXL,0.6382,0.007801,0.5800970599571734
22425,HNRNPUL2,0.6382,0.007801,0.5800970599571734
22339,WIZ,0.6382,0.007801,0.5800970599571734
15753,RASD1,0.6353,0.008182,0.5834421232032854
523,lnc-ZADH2-1,-0.6353,0.008182,0.5834421232032854
18697,PRKCH,0.6353,0.008182,0.5834421232032854
20485,STEAP1,0.6353,0.008182,0.5834421232032854
23156,YIF1A,0.6353,0.008182,0.5834421232032854
5534,lnc-AC009120.10.1-2,-0.6353,0.008182,0.5834421232032854
24011,AP1B1,0.6353,0.008182,0.5834421232032854
6970,XLOC_l2_006797,-0.6353,0.008182,0.5834421232032854
28165,MAGIX,0.6353,0.008182,0.5834421232032854
12933,lnc-SUPT6H-2,-0.6353,0.008182,0.5834421232032854
2666,lnc-C4orf27-1,-0.6353,0.008182,0.5834421232032854
28734,PTGES3,0.6353,0.008182,0.5834421232032854
20010,DHRS11,0.6353,0.008182,0.5834421232032854
